Date,Campaign,Platform,Placement,Age_Group,Region,Device,Spend_USD,Impressions,Reach,Clicks,Engagements,Conversions,Revenue_USD,CTR_%,Engagement_Rate_%,CPA_USD,ROAS,ROI_%
01-01-2025,Campaign 17,Instagram,Explore,25-34,North,Mobile,1014.51,54714,39623,5208,242,141,11933.42,9.52,0.61,7.2,11.76,1076.27
02-01-2025,Campaign 12,Facebook,Stories,18-24,North,Desktop,307.37,69035,18587,3159,6101,162,15222.38,4.58,32.82,1.9,49.52,4852.46
03-01-2025,Campaign 13,Facebook,Feed,45+,South,Desktop,1913.87,25814,24733,1373,6752,60,2109.27,5.32,27.3,31.9,1.1,10.21
04-01-2025,Campaign 8,Instagram,Reels,45+,West,Desktop,1610.7,26089,4975,2276,4681,597,11804.88,8.72,94.09,2.7,7.33,632.9
05-01-2025,Campaign 16,Instagram,Feed,35-44,North,Desktop,1352.55,75162,79455,3730,5187,748,8986.26,4.96,6.53,1.81,6.64,564.39
06-01-2025,Campaign 18,Facebook,Reels,45+,North,Desktop,1099.48,57831,76138,941,1560,432,32462.07,1.63,2.05,2.55,29.52,2852.49
07-01-2025,Campaign 1,Facebook,Explore,35-44,North,Desktop,1594.73,34746,46463,5638,3987,447,36001.4,16.23,8.58,3.57,22.58,2157.52
08-01-2025,Campaign 1,Facebook,Feed,25-34,West,Mobile,1014.78,83673,43154,1355,8584,915,40159.76,1.62,19.89,1.11,39.57,3857.48
09-01-2025,Campaign 12,Instagram,Stories,35-44,North,Desktop,634.95,53940,76676,6943,9935,968,41249.3,12.87,12.96,0.66,64.96,6396.46
10-01-2025,Campaign 6,Instagram,Feed,35-44,East,Desktop,362.73,88796,29830,5333,937,330,31565.33,6.01,3.14,1.1,87.02,8602.16
11-01-2025,Campaign 9,Facebook,Stories,35-44,South,Mobile,1312.79,38476,73126,4598,9329,644,59302.56,11.95,12.76,2.04,45.17,4417.29
12-01-2025,Campaign 5,Facebook,Reels,45+,East,Desktop,1862.38,28283,47745,4242,5946,642,17436.89,15,12.45,2.9,9.36,836.27
13-01-2025,Campaign 16,Facebook,Explore,35-44,West,Mobile,349.56,3769,31609,7986,8563,833,65954.21,211.89,27.09,0.42,188.68,18767.78
14-01-2025,Campaign 18,Instagram,Explore,18-24,North,Mobile,401.04,44278,18401,6502,2469,84,5389.15,14.68,13.42,4.77,13.44,1243.79
15-01-2025,Campaign 17,Instagram,Stories,35-44,South,Mobile,895.53,48994,28729,311,9097,478,9393.25,0.63,31.66,1.87,10.49,948.9
16-01-2025,Campaign 18,Facebook,Reels,25-34,North,Desktop,1623.45,64898,46167,2390,3274,381,14818.33,3.68,7.09,4.26,9.13,812.77
17-01-2025,Campaign 1,Facebook,Explore,18-24,West,Mobile,623.15,17634,58391,1843,6085,873,19083.72,10.45,10.42,0.71,30.62,2962.46
18-01-2025,Campaign 19,Instagram,Reels,25-34,South,Mobile,545.13,12965,59171,2346,982,923,30495.76,18.09,1.66,0.59,55.94,5494.22
19-01-2025,Campaign 8,Instagram,Stories,25-34,East,Desktop,1258.93,29566,7647,2342,9123,337,21383.87,7.92,119.3,3.74,16.99,1598.57
20-01-2025,Campaign 3,Facebook,Stories,25-34,South,Mobile,1094.45,54196,22106,6444,3271,179,7276.39,11.89,14.8,6.11,6.65,564.84
21-01-2025,Campaign 5,Facebook,Feed,18-24,North,Desktop,167.43,50285,7015,2220,2140,661,28049.97,4.41,30.51,0.25,167.53,16653.25
22-01-2025,Campaign 8,Facebook,Explore,18-24,South,Desktop,208.91,57499,22506,374,6832,445,25038.59,0.65,30.36,0.47,119.85,11885.35
23-01-2025,Campaign 19,Instagram,Explore,45+,West,Mobile,1303.88,21420,25067,1035,9886,130,1727.22,4.83,39.44,10.03,1.32,32.47
24-01-2025,Campaign 18,Facebook,Feed,18-24,West,Desktop,956.99,27236,3056,7898,6472,698,52479.65,29,211.78,1.37,54.84,5383.82
25-01-2025,Campaign 18,Instagram,Stories,35-44,South,Desktop,1943.41,8218,30328,6694,9918,223,9625.22,81.46,32.7,8.71,4.95,395.27
26-01-2025,Campaign 1,Instagram,Stories,25-34,West,Mobile,1373.14,51892,78712,4832,6085,952,48207.11,9.31,7.73,1.44,35.11,3410.72
27-01-2025,Campaign 15,Facebook,Stories,45+,West,Mobile,69.64,76031,53832,3902,7662,282,27511.49,5.13,14.23,0.25,395.05,39405.3
